%leaf_name;label_transformation;transformation_expression;leaf_name_aos_indices;length_i;length_j
%;;;;set length to '[1]' for i or j so if no {i} or {j} in leaf_name_aos_indices do the whole just once;
bolometer.grid.dim1;grid_type_dim1_like;grid_type_transformation(index_grid_type,1);bolometer.grid.dim1;[1];[1]
bolometer.grid.dim2;grid_type_dim2_like;grid_type_transformation(index_grid_type,2);bolometer.grid.dim2;[1];[1]
core_instant_changes.vacuum_toroidal_field.b0;b0_like;.sigma_b0_eff;core_instant_changes.vacuum_toroidal_field.b0;[1];[1]
core_instant_changes.change.profiles_1d.q;q_like;.fact_q;core_instant_changes.change{i}.profiles_1d{j}.q;core_instant_changes.change;core_instant_changes.change{i}.profiles_1d
core_profiles.profiles_1d.q;q_like;.fact_q;core_profiles.profiles_1d{i}.q;core_profiles.profiles_1d;[1]
core_profiles.profiles_2d.grid.dim1;grid_type_dim1_like;grid_type_transformation(index_grid_type,1);core_profiles.profiles_2d{i}.grid.dim1;core_profiles.profiles_2d;[1]
core_profiles.profiles_2d.grid.dim2;grid_type_dim2_like;grid_type_transformation(index_grid_type,2);core_profiles.profiles_2d{i}.grid.dim2;core_profiles.profiles_2d;[1]
core_profiles.global_quantities.ip;ip_like;.sigma_ip_eff;core_profiles.global_quantities.ip;[1];[1]
core_profiles.global_quantities.current_non_inductive;ip_like;.sigma_ip_eff;core_profiles.global_quantities.current_non_inductive;[1];[1]
core_profiles.global_quantities.current_bootstrap;ip_like;.sigma_ip_eff;core_profiles.global_quantities.current_bootstrap;[1];[1]
core_profiles.global_quantities.v_loop;ip_like;.sigma_ip_eff;core_profiles.global_quantities.v_loop;[1];[1]
core_profiles.vacuum_toroidal_field.b0;b0_like;.sigma_b0_eff;core_profiles.vacuum_toroidal_field.b0;[1];[1]
core_sources.vacuum_toroidal_field.b0;b0_like;.sigma_b0_eff;core_sources.vacuum_toroidal_field.b0;[1];[1]
core_transport.vacuum_toroidal_field.b0;b0_like;.sigma_b0_eff;core_transport.vacuum_toroidal_field.b0;[1];[1]
disruption.vacuum_toroidal_field.b0;b0_like;.sigma_b0_eff;disruption.vacuum_toroidal_field.b0;[1];[1]
distribution_sources.vacuum_toroidal_field.b0;b0_like;.sigma_b0_eff;distribution_sources.vacuum_toroidal_field.b0;[1];[1]
distributions.vacuum_toroidal_field.b0;b0_like;.sigma_b0_eff;distributions.vacuum_toroidal_field.b0;[1];[1]
ec_launchers.launcher.steering_angle_tor.data;tor_angle_like;.sigma_rphiz_eff;ec_launchers.launcher{i}.steering_angle_tor.data;ec_launchers.launcher;[1]
edge_profiles.vacuum_toroidal_field.b0;b0_like;.sigma_b0_eff;edge_profiles.vacuum_toroidal_field.b0;[1];[1]
edge_profiles.profiles_1d.q;q_like;.fact_q;edge_profiles.profiles_1d{i}.q;edge_profiles.profiles_1d;[1]
equilibrium.vacuum_toroidal_field.b0;b0_like;.sigma_b0_eff;equilibrium.vacuum_toroidal_field.b0;[1];[1]
equilibrium.time_slice.constraints.bpol_probe.measured;one_like;'1';equilibrium.time_slice{i}.constraints.bpol_probe{j}.measured;equilibrium.time_slice;equilibrium.time_slice{i}.constraints.bpol_probe
equilibrium.time_slice.constraints.bpol_probe.reconstructed;one_like;'1';equilibrium.time_slice{i}.constraints.bpol_probe{j}.reconstructed;equilibrium.time_slice;equilibrium.time_slice{i}.constraints.bpol_probe
equilibrium.time_slice.constraints.diamagnetic_flux.measured;b0_like;.sigma_b0_eff;equilibrium.time_slice{i}.constraints.diamagnetic_flux.measured;equilibrium.time_slice;[1]
equilibrium.time_slice.constraints.diamagnetic_flux.reconstructed;b0_like;.sigma_b0_eff;equilibrium.time_slice{i}.constraints.diamagnetic_flux.reconstructed;equilibrium.time_slice;[1]
equilibrium.time_slice.constraints.ip.measured;ip_like;.sigma_ip_eff;equilibrium.time_slice{i}.constraints.ip.measured;equilibrium.time_slice;[1]
equilibrium.time_slice.constraints.ip.reconstructed;ip_like;.sigma_ip_eff;equilibrium.time_slice{i}.constraints.ip.reconstructed;equilibrium.time_slice;[1]
equilibrium.time_slice.constraints.pf_current.measured;ip_like;.sigma_ip_eff;equilibrium.time_slice{i}.constraints.pf_current{j}.measured;equilibrium.time_slice;equilibrium.time_slice{i}.constraints.pf_current
equilibrium.time_slice.constraints.pf_current.reconstructed;ip_like;.sigma_ip_eff;equilibrium.time_slice{i}.constraints.pf_current{j}.reconstructed;equilibrium.time_slice;equilibrium.time_slice{i}.constraints.pf_current
equilibrium.time_slice.global_quantities.ip;ip_like;.sigma_ip_eff;equilibrium.time_slice{i}.global_quantities.ip;equilibrium.time_slice;[1]
equilibrium.time_slice.global_quantities.magnetic_axis.b_field_phi;b0_like;.sigma_b0_eff;equilibrium.time_slice{i}.global_quantities.magnetic_axis.b_field_phi;equilibrium.time_slice;[1]
equilibrium.time_slice.global_quantities.q_axis;q_like;.fact_q;equilibrium.time_slice{i}.global_quantities.q_axis;equilibrium.time_slice;[1]
equilibrium.time_slice.global_quantities.q_95;q_like;.fact_q;equilibrium.time_slice{i}.global_quantities.q_95;equilibrium.time_slice;[1]
equilibrium.time_slice.global_quantities.q_min.value;q_like;.fact_q;equilibrium.time_slice{i}.global_quantities.q_min.value;equilibrium.time_slice;[1]
equilibrium.time_slice.global_quantities.v_external;ip_like;.sigma_ip_eff;equilibrium.time_slice{i}.global_quantities.v_external;equilibrium.time_slice;[1]
equilibrium.time_slice.profiles_1d.phi;b0_like;.sigma_b0_eff;equilibrium.time_slice{i}.profiles_1d.phi;equilibrium.time_slice;[1]
equilibrium.time_slice.profiles_1d.f;b0_like;.sigma_b0_eff;equilibrium.time_slice{i}.profiles_1d.f;equilibrium.time_slice;[1]
equilibrium.time_slice.profiles_1d.j_phi;ip_like;.sigma_ip_eff;equilibrium.time_slice{i}.profiles_1d.j_phi;equilibrium.time_slice;[1]
equilibrium.time_slice.profiles_1d.j_parallel;ip_like;.sigma_ip_eff;equilibrium.time_slice{i}.profiles_1d.j_parallel;equilibrium.time_slice;[1]
equilibrium.time_slice.profiles_1d.q;q_like;.fact_q;equilibrium.time_slice{i}.profiles_1d.q;equilibrium.time_slice;[1]
equilibrium.time_slice.profiles_2d.grid.dim1;grid_type_dim1_like;grid_type_transformation(index_grid_type,1);equilibrium.time_slice{i}.profiles_2d{j}.grid.dim1;equilibrium.time_slice;equilibrium.time_slice{i}.profiles_2d
equilibrium.time_slice.profiles_2d.grid.dim2;grid_type_dim2_like;grid_type_transformation(index_grid_type,2);equilibrium.time_slice{i}.profiles_2d{j}.grid.dim2;equilibrium.time_slice;equilibrium.time_slice{i}.profiles_2d
equilibrium.time_slice.profiles_2d.theta;pol_angle_like;.fact_dtheta;equilibrium.time_slice{i}.profiles_2d{j}.theta;equilibrium.time_slice;equilibrium.time_slice{i}.profiles_2d
equilibrium.time_slice.profiles_2d.phi;b0_like;.sigma_b0_eff;equilibrium.time_slice{i}.profiles_2d{j}.phi;equilibrium.time_slice;equilibrium.time_slice{i}.profiles_2d
equilibrium.time_slice.profiles_2d.j_phi;ip_like;.sigma_ip_eff;equilibrium.time_slice{i}.profiles_2d{j}.j_phi;equilibrium.time_slice;equilibrium.time_slice{i}.profiles_2d
equilibrium.time_slice.profiles_2d.j_parallel;ip_like;.sigma_ip_eff;equilibrium.time_slice{i}.profiles_2d{j}.j_parallel;equilibrium.time_slice;equilibrium.time_slice{i}.profiles_2d
equilibrium.time_slice.profiles_2d.b_field_phi;b0_like;.sigma_b0_eff;equilibrium.time_slice{i}.profiles_2d{j}.b_field_phi;equilibrium.time_slice;equilibrium.time_slice{i}.profiles_2d
equilibrium.time_slice.ggd.theta{k}.values;pol_angle_like;.fact_dtheta;equilibrium.time_slice{i}.ggd{j}.theta{k}.values;equilibrium.time_slice;equilibrium.time_slice{i}.ggd
equilibrium.time_slice.coordinate_system.grid.dim1;grid_type_dim1_like;grid_type_transformation(index_grid_type,1);equilibrium.time_slice{i}.coordinate_system.grid.dim1;equilibrium.time_slice;[1]
equilibrium.time_slice.coordinate_system.grid.dim2;grid_type_dim2_like;grid_type_transformation(index_grid_type,2);equilibrium.time_slice{i}.coordinate_system.grid.dim2;equilibrium.time_slice;[1]
equilibrium.time_slice.coordinate_system.tensor_covariant;grid_type_tensor_covariant_like;grid_type_transformation(index_grid_type,4);equilibrium.time_slice{i}.coordinate_system.tensor_covariant;equilibrium.time_slice;[1]
equilibrium.time_slice.coordinate_system.tensor_contravariant;grid_type_tensor_contravariant_like;grid_type_transformation(index_grid_type,4);equilibrium.time_slice{i}.coordinate_system.tensor_contravariant;equilibrium.time_slice;[1]
magnetics.b_field_pol_probe.poloidal_angle;pol_angle_like;.fact_dtheta;magnetics.b_field_pol_probe{i}.poloidal_angle;magnetics.b_field_pol_probe;[1]
magnetics.b_field_pol_probe.toroidal_angle;tor_angle_like;.sigma_rphiz_eff;magnetics.b_field_pol_probe{i}.toroidal_angle;magnetics.b_field_pol_probe;[1]
magnetics.b_field_pol_probe.field.data;one_like;'1';magnetics.b_field_pol_probe{i}.field.data;magnetics.b_field_pol_probe;[1]
magnetics.b_field_pol_probe.poloidal_angle;pol_angle_like;.fact_dtheta;magnetics.b_field_pol_probe{i}.poloidal_angle;magnetics.b_field_pol_probe;[1]
magnetics.b_field_pol_probe.toroidal_angle;tor_angle_like;.sigma_rphiz_eff;magnetics.b_field_pol_probe{i}.toroidal_angle;magnetics.b_field_pol_probe;[1]
magnetics.b_field_pol_probe.field.data;one_like;'1';magnetics.b_field_pol_probe{i}.field.data;magnetics.b_field_pol_probe;[1]
magnetics.ip.data;ip_like;.sigma_ip_eff;magnetics.ip{i}.data;magnetics.ip;[1]
magnetics.diamagnetic_flux.data;b0_like;.sigma_b0_eff;magnetics.diamagnetic_flux{i}.data;magnetics.diamagnetic_flux;[1]
mhd_linear.vacuum_toroidal_field.b0;b0_like;.sigma_b0_eff;mhd_linear.vacuum_toroidal_field.b0;[1];[1]
mhd_linear.time_slice.toroidal_mode.plasma.grid.dim1;grid_type_dim1_like;grid_type_transformation(index_grid_type,1);mhd_linear.time_slice{i}.toroidal_mode{j}.plasma.grid.dim1;mhd_linear.time_slice;mhd_linear.time_slice{i}.toroidal_mode
mhd_linear.time_slice.toroidal_mode.plasma.grid.dim2;grid_type_dim2_like;grid_type_transformation(index_grid_type,2);mhd_linear.time_slice{i}.toroidal_mode{j}.plasma.grid.dim2;mhd_linear.time_slice;mhd_linear.time_slice{i}.toroidal_mode
mhd_linear.time_slice.toroidal_mode.plasma.coordinate_system.grid.dim1;grid_type_dim1_like;grid_type_transformation(index_grid_type,1);mhd_linear.time_slice{i}.toroidal_mode{j}.plasma.coordinate_system.grid.dim1;mhd_linear.time_slice;mhd_linear.time_slice{i}.toroidal_mode
mhd_linear.time_slice.toroidal_mode.plasma.coordinate_system.grid.dim2;grid_type_dim2_like;grid_type_transformation(index_grid_type,2);mhd_linear.time_slice{i}.toroidal_mode{j}.plasma.coordinate_system.grid.dim2;mhd_linear.time_slice;mhd_linear.time_slice{i}.toroidal_mode
mhd_linear.time_slice.toroidal_mode.vacuum.grid.dim1;grid_type_dim1_like;grid_type_transformation(index_grid_type,1);mhd_linear.time_slice{i}.toroidal_mode{j}.vacuum.grid.dim1;mhd_linear.time_slice;mhd_linear.time_slice{i}.toroidal_mode
mhd_linear.time_slice.toroidal_mode.vacuum.grid.dim2;grid_type_dim2_like;grid_type_transformation(index_grid_type,2);mhd_linear.time_slice{i}.toroidal_mode{j}.vacuum.grid.dim2;mhd_linear.time_slice;mhd_linear.time_slice{i}.toroidal_mode
mhd_linear.time_slice.toroidal_mode.vacuum.coordinate_system.grid.dim1;grid_type_dim1_like;grid_type_transformation(index_grid_type,1);mhd_linear.time_slice{i}.toroidal_mode{j}.vacuum.coordinate_system.grid.dim1;mhd_linear.time_slice;mhd_linear.time_slice{i}.toroidal_mode
mhd_linear.time_slice.toroidal_mode.vacuum.coordinate_system.grid.dim2;grid_type_dim2_like;grid_type_transformation(index_grid_type,2);mhd_linear.time_slice{i}.toroidal_mode{j}.vacuum.coordinate_system.grid.dim2;mhd_linear.time_slice;mhd_linear.time_slice{i}.toroidal_mode
nbi.unit.beamlets_group.position.phi;tor_angle_like;.sigma_rphiz_eff;nbi.unit{i}.beamlets_group{j}.position.phi;nbi.unit;nbi.unit{i}.beamlets_group
nbi.unit.beamlets_group.direction;tor_angle_like;.sigma_rphiz_eff;nbi.unit{i}.beamlets_group{j}.direction;nbi.unit;nbi.unit{i}.beamlets_group
nbi.unit.beamlets_group.beamlets.positions.phi;tor_angle_like;.sigma_rphiz_eff;nbi.unit{i}.beamlets_group{j}.beamlets.positions.phi;nbi.unit;nbi.unit{i}.beamlets_group
ntms.vacuum_toroidal_field.b0;b0_like;.sigma_b0_eff;ntms.vacuum_toroidal_field.b0;[1];[1]
pf_active.coil.current.data;ip_like;.sigma_ip_eff;pf_active.coil{i}.current.data;pf_active.coil;[1]
pf_active.circuit.current.data;ip_like;.sigma_ip_eff;pf_active.circuit{i}.current.data;pf_active.circuit;[1]
pf_active.supply.current.data;ip_like;.sigma_ip_eff;pf_active.supply{i}.current.data;pf_active.supply;[1]
equilibrium.time_slice.profiles_2d.grid.dim1;grid_type_dim1_like;grid_type_transformation(index_grid_type,1);equilibrium.time_slice{i}.profiles_2d{j}.grid.dim1;equilibrium.time_slice;equilibrium.time_slice{i}.profiles_2d
equilibrium.time_slice.profiles_2d.grid.dim2;grid_type_dim2_like;grid_type_transformation(index_grid_type,2);equilibrium.time_slice{i}.profiles_2d{j}.grid.dim2;equilibrium.time_slice;equilibrium.time_slice{i}.profiles_2d
plasma_initiation.profiles_2d.grid.dim1;grid_type_dim1_like;grid_type_transformation(index_grid_type,1);plasma_initiation.profiles_2d{i}.grid.dim1;plasma_initiation.profiles_2d;[1]
plasma_initiation.profiles_2d.grid.dim2;grid_type_dim2_like;grid_type_transformation(index_grid_type,2);plasma_initiation.profiles_2d{i}.grid.dim2;plasma_initiation.profiles_2d;[1]
plasma_profiles.vacuum_toroidal_field.b0;b0_like;.sigma_b0_eff;plasma_profiles.vacuum_toroidal_field.b0;[1];[1]
plasma_profiles.global_quantities.ip;ip_like;.sigma_ip_eff;plasma_profiles.global_quantities.ip;[1];[1]
plasma_profiles.global_quantities.current_non_inductive;ip_like;.sigma_ip_eff;plasma_profiles.global_quantities.current_non_inductive;[1];[1]
plasma_profiles.global_quantities.current_bootstrap;ip_like;.sigma_ip_eff;plasma_profiles.global_quantities.current_bootstrap;[1];[1]
plasma_profiles.global_quantities.v_loop;ip_like;.sigma_ip_eff;plasma_profiles.global_quantities.v_loop;[1];[1]
plasma_profiles.profiles_1d.q;q_like;.fact_q;plasma_profiles.profiles_1d{i}.q;plasma_profiles.profiles_1d;[1]
core_profiles.profiles_2d.grid.dim1;grid_type_dim1_like;grid_type_transformation(index_grid_type,1);core_profiles.profiles_2d{i}.grid.dim1;core_profiles.profiles_2d;[1]
core_profiles.profiles_2d.grid.dim2;grid_type_dim2_like;grid_type_transformation(index_grid_type,2);core_profiles.profiles_2d{i}.grid.dim2;core_profiles.profiles_2d;[1]
plasma_sources.vacuum_toroidal_field.b0;b0_like;.sigma_b0_eff;plasma_sources.vacuum_toroidal_field.b0;[1];[1]
plasma_transport.vacuum_toroidal_field.b0;b0_like;.sigma_b0_eff;plasma_transport.vacuum_toroidal_field.b0;[1];[1]
radiation.vacuum_toroidal_field.b0;b0_like;.sigma_b0_eff;radiation.vacuum_toroidal_field.b0;[1];[1]
runaway_electrons.vacuum_toroidal_field.b0;b0_like;.sigma_b0_eff;runaway_electrons.vacuum_toroidal_field.b0;[1];[1]
sawteeth.vacuum_toroidal_field.b0;b0_like;.sigma_b0_eff;sawteeth.vacuum_toroidal_field.b0;[1];[1]
summary.global_quantities.ip.value;ip_like;.sigma_ip_eff;summary.global_quantities.ip.value;[1];[1]
summary.global_quantities.current_non_inductive.value;ip_like;.sigma_ip_eff;summary.global_quantities.current_non_inductive.value;[1];[1]
summary.global_quantities.current_bootstrap.value;ip_like;.sigma_ip_eff;summary.global_quantities.current_bootstrap.value;[1];[1]
summary.global_quantities.current_ohm;ip_like;.sigma_ip_eff;summary.global_quantities.current_ohm;[1];[1]
summary.global_quantities.v_loop.value;ip_like;.sigma_ip_eff;summary.global_quantities.v_loop.value;[1];[1]
